clubQid,name,country,tier,venue,capacity,lat,lon,ticketUrl,source,note,_league,_season,_article,_rosterCapacity,_ourTier,_wikidataLeagues,_hasCoordinates,_sameNameOnMap,_secondSource,_why,_verdict
Q162251,1. FC Heidenheim 1846,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Heidenheim,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,15000,2,Q152665 Q154069 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q8466,1. FC Kaiserslautern,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Kaiserslautern,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,49327,2,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q155730,1. FC Magdeburg,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Magdeburg,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,30098,2,Q152665,yes,,no second source for this division,in the division and on the map at this tier,ok
Q15786,1. FC Nürnberg,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_N%C3%BCrnberg,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,49923,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q105844,Arminia Bielefeld,DE,,,,,,,https://en.wikipedia.org/wiki/Arminia_Bielefeld,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,27332,2,Q152665 Q154069 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q141931,Dynamo Dresden,DE,,,,,,,https://en.wikipedia.org/wiki/Dynamo_Dresden,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,32249,2,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q154053,Eintracht Braunschweig,DE,,,,,,,https://en.wikipedia.org/wiki/Eintracht_Braunschweig,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,23325,2,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q107818,FC Energie Cottbus,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Energie_Cottbus,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,22528,2,Q152665 Q154069 Q548937,yes,,no second source for this division,in the division and on the map at this tier,ok
Q6463,FC St. Pauli,DE,,,,,,,https://en.wikipedia.org/wiki/FC_St._Pauli,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,29546,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q33748,Hannover 96,DE,,,,,,,https://en.wikipedia.org/wiki/Hannover_96,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,49000,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q102720,Hertha BSC,DE,,,,,,,https://en.wikipedia.org/wiki/Hertha_BSC,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,74649,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q157828,Holstein Kiel,DE,,,,,,,https://en.wikipedia.org/wiki/Holstein_Kiel,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,15034,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q105853,Karlsruher SC,DE,,,,,,,https://en.wikipedia.org/wiki/Karlsruher_SC,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,34302,2,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q479351,SV Darmstadt 98,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Darmstadt_98,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,17650,2,Q152665 Q2348880 Q316340 Q4596989 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q153539,SpVgg Greuther Fürth,DE,,,,,,,https://en.wikipedia.org/wiki/SpVgg_Greuther_F%C3%BCrth,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,16626,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q105861,VfL Bochum,DE,,,,,,,https://en.wikipedia.org/wiki/VfL_Bochum,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,26000,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q160530,VfL Osnabrück,DE,,,,,,,https://en.wikipedia.org/wiki/VfL_Osnabr%C3%BCck,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,15741,2,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q101859,VfL Wolfsburg,DE,,,,,,,https://en.wikipedia.org/wiki/VfL_Wolfsburg,,2. Bundesliga,2026-27,2026–27 2. Bundesliga,30000,2,Q152665 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q157463,1. FC Saarbrücken,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Saarbr%C3%BCcken,,3. Liga,2026-27,2026–27 3. Liga,16003,3,Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q153535,Alemannia Aachen,DE,,,,,,,https://en.wikipedia.org/wiki/Alemannia_Aachen,,3. Liga,2026-27,2026–27 3. Liga,32960,3,Q152665 Q154069 Q555836 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q142005,F.C. Hansa Rostock,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Hansa_Rostock,,3. Liga,2026-27,2026–27 3. Liga,29000,3,Q154069 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q170117,FC Ingolstadt 04,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Ingolstadt_04,,3. Liga,2026-27,2026–27 3. Liga,15200,3,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q695008,FC Viktoria Köln,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Viktoria_K%C3%B6ln,,3. Liga,2026-27,2026–27 3. Liga,8343,3,Q154069 Q555836 Q832896,yes,,no second source for this division,in the division and on the map at this tier,ok
Q151747,Fortuna Düsseldorf,DE,,,,,,,https://en.wikipedia.org/wiki/Fortuna_D%C3%BCsseldorf,,3. Liga,2026-27,2026–27 3. Liga,54600,3,Q152665 Q154069 Q82595,yes,,no second source for this division,in the division and on the map at this tier,ok
Q154293,MSV Duisburg,DE,,,,,,,https://en.wikipedia.org/wiki/MSV_Duisburg,,3. Liga,2026-27,2026–27 3. Liga,31514,3,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q155218,Rot-Weiss Essen,DE,,,,,,,https://en.wikipedia.org/wiki/Rot-Weiss_Essen,,3. Liga,2026-27,2026–27 3. Liga,19962,3,Q154069 Q555836,yes,,no second source for this division,in the division and on the map at this tier,ok
Q310608,SC Fortuna Köln,DE,,,,,,,https://en.wikipedia.org/wiki/SC_Fortuna_K%C3%B6ln,,3. Liga,2026-27,2026–27 3. Liga,11748,3,Q154069 Q555836,yes,,no second source for this division,in the division and on the map at this tier,ok
Q316865,SC Preußen Münster,DE,,,,,,,https://en.wikipedia.org/wiki/SC_Preu%C3%9Fen_M%C3%BCnster,,3. Liga,2026-27,2026–27 3. Liga,14300,3,Q152665 Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q666010,SC Verl,DE,,,,,,,https://en.wikipedia.org/wiki/SC_Verl,,3. Liga,2026-27,2026–27 3. Liga,5207,3,Q555836,yes,,no second source for this division,in the division and on the map at this tier,ok
Q692755,SG Sonnenhof Großaspach,DE,,,,,,,https://en.wikipedia.org/wiki/SG_Sonnenhof_Gro%C3%9Faspach,,3. Liga,2026-27,2026–27 3. Liga,10001,3,Q322128,yes,,no second source for this division,in the division and on the map at this tier,ok
Q265570,SSV Jahn Regensburg,DE,,,,,,,https://en.wikipedia.org/wiki/SSV_Jahn_Regensburg,,3. Liga,2026-27,2026–27 3. Liga,15210,3,Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q819400,SV Meppen,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Meppen,,3. Liga,2026-27,2026–27 3. Liga,13241,3,Q2188121,yes,,no second source for this division,in the division and on the map at this tier,ok
Q170134,SV Waldhof Mannheim,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Waldhof_Mannheim,,3. Liga,2026-27,2026–27 3. Liga,24302,3,Q154069 Q322128,yes,,no second source for this division,in the division and on the map at this tier,ok
Q310621,SV Wehen Wiesbaden,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Wehen_Wiesbaden,,3. Liga,2026-27,2026–27 3. Liga,15295,3,Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q16637410,TSG 1899 Hoffenheim II,DE,,,,,,,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim_II,,3. Liga,2026-27,2026–27 3. Liga,6350,3,Q322128,yes,,no second source for this division,in the division and on the map at this tier,ok
Q537301,TSV Havelse,DE,,,,,,,https://en.wikipedia.org/wiki/TSV_Havelse,,3. Liga,2026-27,2026–27 3. Liga,,3,Q2188121,yes,,no second source for this division,in the division and on the map at this tier,ok
Q107421,VfB Stuttgart II,DE,,,,,,,https://en.wikipedia.org/wiki/VfB_Stuttgart_II,,3. Liga,2026-27,2026–27 3. Liga,10001,3,Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q535785,Würzburger Kickers,DE,,,,,,,https://en.wikipedia.org/wiki/FC_W%C3%BCrzburger_Kickers,,3. Liga,2026-27,2026–27 3. Liga,13090,3,Q154069,yes,,no second source for this division,in the division and on the map at this tier,ok
Q15755,FC Augsburg,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Augsburg,,Bundesliga,2026-27,2026–27 Bundesliga,30660,,Q82595,yes,Q97905916,Bundesliga: confirms,"Wikidata has the right league and a position for this club, and it is still not on the map. Nothing here explains that - read the club layer run summary for this Q-id. A club of the same name IS on the map at this tier, under Q97905916. Wikidata keeps a club item and a men's-first-team item for many German clubs and they carry different things - the club item has the sitelinks, the team item often has the only P118 - so this may be one club appearing twice rather than one missing and one spurious. Read both items before adding or skipping anything",missing-from-wikidata
Q97905916,FC Augsburg,DE,,,,,,,,,Bundesliga,2026-27,2026–27 Bundesliga,,1,Q82595,yes,,Bundesliga: confirms,"the map has this club at this tier and the league does not list it. Either its P118 is stale and it belongs at another tier, or the league article links it under a title the sitelink hop did not resolve",extra-not-in-roster
Q104770,1. FC Köln,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln,,Bundesliga,2026-27,2026–27 Bundesliga,49698,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q141971,1. FC Union Berlin,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Union_Berlin,,Bundesliga,2026-27,2026–27 Bundesliga,22012,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q105254,1. FSV Mainz 05,DE,,,,,,,https://en.wikipedia.org/wiki/1._FSV_Mainz_05,,Bundesliga,2026-27,2026–27 Bundesliga,33305,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q104761,Bayer 04 Leverkusen,DE,,,,,,,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,,Bundesliga,2026-27,2026–27 Bundesliga,30210,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q41420,Borussia Dortmund,DE,,,,,,,https://en.wikipedia.org/wiki/Borussia_Dortmund,,Bundesliga,2026-27,2026–27 Bundesliga,81365,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q101959,Borussia Mönchengladbach,DE,,,,,,,https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,,Bundesliga,2026-27,2026–27 Bundesliga,54057,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q38245,Eintracht Frankfurt,DE,,,,,,,https://en.wikipedia.org/wiki/Eintracht_Frankfurt,,Bundesliga,2026-27,2026–27 Bundesliga,59500,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q15789,FC Bayern Munich,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Bayern_Munich,,Bundesliga,2026-27,2026–27 Bundesliga,75000,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q51974,Hamburger SV,DE,,,,,,,https://en.wikipedia.org/wiki/Hamburger_SV,,Bundesliga,2026-27,2026–27 Bundesliga,57000,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q702455,RB Leipzig,DE,,,,,,,https://en.wikipedia.org/wiki/RB_Leipzig,,Bundesliga,2026-27,2026–27 Bundesliga,47800,1,Q152665 Q154069 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q106394,SC Freiburg,DE,,,,,,,https://en.wikipedia.org/wiki/SC_Freiburg,,Bundesliga,2026-27,2026–27 Bundesliga,34700,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q160532,SC Paderborn 07,DE,,,,,,,https://en.wikipedia.org/wiki/SC_Paderborn_07,,Bundesliga,2026-27,2026–27 Bundesliga,15000,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q692691,SV Elversberg,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Elversberg,,Bundesliga,2026-27,2026–27 Bundesliga,10000,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q51976,SV Werder Bremen,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Werder_Bremen,,Bundesliga,2026-27,2026–27 Bundesliga,42100,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q32494,Schalke 04,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Schalke_04,,Bundesliga,2026-27,2026–27 Bundesliga,62271,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q22707,TSG 1899 Hoffenheim,DE,,,,,,,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,,Bundesliga,2026-27,2026–27 Bundesliga,30150,1,Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q4512,VfB Stuttgart,DE,,,,,,,https://en.wikipedia.org/wiki/VfB_Stuttgart,,Bundesliga,2026-27,2026–27 Bundesliga,60058,1,Q152665 Q82595,yes,,Bundesliga: confirms,in the division and on the map at this tier,ok
Q162213,1. FC Bocholt,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Bocholt,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q1476473,yes,,no second source for this division,"Wikidata gives it only leagues Q1476473, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q162366,1. FC Phönix Lübeck,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Ph%C3%B6nix_L%C3%BCbeck,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,none,no,,no second source for this division,"Wikidata gives it no league at all, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q162394,1. FC Schweinfurt 05,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Schweinfurt_05,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q15735,yes,,no second source for this division,"Wikidata gives it only leagues Q15735, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q666155,BFC Preussen,DE,,,,,,,https://en.wikipedia.org/wiki/BFC_Preussen,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q821097,yes,,no second source for this division,"Wikidata gives it only leagues Q821097, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q479276,Bremer SV,DE,,,,,,,https://en.wikipedia.org/wiki/Bremer_SV,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q475887,no,,no second source for this division,"Wikidata gives it only leagues Q475887, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q468738,Eimsbütteler TV,DE,,,,,,,https://en.wikipedia.org/wiki/Eimsb%C3%BCtteler_TV,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,none,no,,no second source for this division,"Wikidata gives it no league at all, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q14118284,Eintracht Frankfurt II,DE,,,,,,,https://en.wikipedia.org/wiki/Eintracht_Frankfurt_II,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q322128,yes,,no second source for this division,"Wikidata marks this club dissolved (P576) and the club query excludes dissolved clubs, so it can never reach the map. Either Wikidata is wrong or the league article is",missing-from-wikidata
Q325270,FC Astoria Walldorf,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Astoria_Walldorf,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q878642,no,,no second source for this division,"Wikidata gives it only leagues Q878642, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q831602,FC Eintracht Norderstedt 03,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Eintracht_Norderstedt_03,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q317927,yes,,no second source for this division,"Wikidata gives it only leagues Q317927, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q141882,FC Erzgebirge Aue,DE,,,,,,,https://en.wikipedia.org/wiki/FC_Erzgebirge_Aue,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,none,yes,Q97927365,no second source for this division,"Wikidata gives it no league at all, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv. A club of the same name IS on the map at this tier, under Q97927365. Wikidata keeps a club item and a men's-first-team item for many German clubs and they carry different things - the club item has the sitelinks, the team item often has the only P118 - so this may be one club appearing twice rather than one missing and one spurious. Read both items before adding or skipping anything",missing-from-wikidata
Q694464,FC Gütersloh 2000,DE,,,,,,,https://en.wikipedia.org/wiki/FC_G%C3%BCtersloh,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q316113,yes,,no second source for this division,"Wikidata gives it only leagues Q316113, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q479371,FSV 63 Luckenwalde,DE,,,,,,,https://en.wikipedia.org/wiki/FSV_63_Luckenwalde,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q316686,no,,no second source for this division,"Wikidata gives it only leagues Q316686, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q55364716,Greifswalder FC,DE,,,,,,,https://en.wikipedia.org/wiki/Greifswalder_FC,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,none,yes,,no second source for this division,"Wikidata gives it no league at all, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q1576328,Hannoverscher SC,DE,,,,,,,https://en.wikipedia.org/wiki/HSC_Hannover,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q317868,no,,no second source for this division,"Wikidata gives it only leagues Q317868, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q20631356,SC Freiburg II,DE,,,,,,,https://en.wikipedia.org/wiki/SC_Freiburg_II,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q878642,yes,,no second source for this division,"Wikidata gives it only leagues Q878642, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q524378,SG Wattenscheid 09,DE,,,,,,,https://en.wikipedia.org/wiki/SG_Wattenscheid_09,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q316113,yes,,no second source for this division,"Wikidata gives it only leagues Q316113, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q885184,SGV Freiberg,DE,,,,,,,https://en.wikipedia.org/wiki/SGV_Heilbronn-Freiberg,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q878642,no,,no second source for this division,"Wikidata gives it only leagues Q878642, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q30090061,SV Atlas Delmenhorst,DE,,,,,,,https://en.wikipedia.org/wiki/Atlas_Delmenhorst,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,none,no,,no second source for this division,"Wikidata gives it no league at all, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q571553,SV Babelsberg 03,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Babelsberg_03,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,none,yes,Q97927380,no second source for this division,"Wikidata gives it no league at all, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv. A club of the same name IS on the map at this tier, under Q97927380. Wikidata keeps a club item and a men's-first-team item for many German clubs and they carry different things - the club item has the sitelinks, the team item often has the only P118 - so this may be one club appearing twice rather than one missing and one spurious. Read both items before adding or skipping anything",missing-from-wikidata
Q1425370,SV Drochtersen/Assel,DE,,,,,,,https://en.wikipedia.org/wiki/SV_Drochtersen/Assel,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q317868,no,,no second source for this division,"Wikidata gives it only leagues Q317868, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q885187,SpVgg Ansbach,DE,,,,,,,https://en.wikipedia.org/wiki/SpVgg_Ansbach,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q15735,no,,no second source for this division,"Wikidata gives it only leagues Q15735, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q526949,SpVgg Bayreuth,DE,,,,,,,https://en.wikipedia.org/wiki/SpVgg_Bayreuth,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q15735,yes,,no second source for this division,"Wikidata gives it only leagues Q15735, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q1507157,TSV Aubstadt,DE,,,,,,,https://en.wikipedia.org/wiki/TSV_Aubstadt,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q20028073,no,,no second source for this division,"Wikidata gives it only leagues Q20028073, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q2802618,TSV Landsberg,DE,,,,,,,https://en.wikipedia.org/wiki/TSV_Landsberg,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q20025024,no,,no second source for this division,"Wikidata gives it only leagues Q20025024, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q529579,TSV Schwaben Augsburg,DE,,,,,,,https://en.wikipedia.org/wiki/TSV_Schwaben_Augsburg,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q1477024,yes,,no second source for this division,"Wikidata gives it only leagues Q1477024, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q445897,VSG Altglienicke,DE,,,,,,,https://en.wikipedia.org/wiki/VSG_Altglienicke,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q316686,no,,no second source for this division,"Wikidata gives it only leagues Q316686, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q7924284,VfL Bochum II,DE,,,,,,,https://en.wikipedia.org/wiki/VfL_Bochum_II,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q2188121,yes,,no second source for this division,"Wikidata marks this club dissolved (P576) and the club query excludes dissolved clubs, so it can never reach the map. Either Wikidata is wrong or the league article is",missing-from-wikidata
Q666179,VfR Mannheim,DE,,,,,,,https://en.wikipedia.org/wiki/VfR_Mannheim,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q878642,yes,,no second source for this division,"Wikidata gives it only leagues Q878642, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q823142,Westfalia Rhynern,DE,,,,,,,https://en.wikipedia.org/wiki/Westfalia_Rhynern,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,,Q316113,no,,no second source for this division,"Wikidata gives it only leagues Q316113, none of them in data/league-tiers.csv, so the club query never sees it. Add a row to data/clubs-manual.csv",missing-from-wikidata
Q155730,1. FC Magdeburg,DE,,,,,,,https://en.wikipedia.org/wiki/1._FC_Magdeburg_II,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,2,Q152665,yes,,no second source for this division,the league lists it at tier 4 and the map has it at tier 2 in DE - most likely a P118 left over from last season. Put 4 in the tier cell of data/clubs-manual.csv,wrong-tier
Q6463,FC St. Pauli,DE,,,,,,,https://en.wikipedia.org/wiki/FC_St._Pauli_II,,"Regionalliga Suedwest, Regionalliga Nordost, Regionalliga West, Regionalliga Bayern, Regionalliga Nord",2026-27,2026–27 Regionalliga,,2,Q152665 Q82595,yes,,no second source for this division,the league lists it at tier 4 and the map has it at tier 2 in DE - most likely a P118 left over from last season. Put 4 in the tier cell of data/clubs-manual.csv,wrong-tier
